proveedor,centro_distribucion,laboratorio,cum,descripcion,precio_proveedor,principio_activo,precio_maximo_venta,circular_origen,ratio_precio_vs_regulado,diferencia_valor,diferencia_pct
DISFARMA,BOGOTA,HETERO,20142221-01,HIDROCLOROTIAZIDA+IRBESARTAN 25MG+300MG TAB CX30 (IRBIGEN-H) - HETERO,9090,HIDROCLOROTIAZIDA+IRBESARTAN,60840.0,Circular 19 de 2024,0.14940828402366865,-51750.0,-85.05917159763314
DISFARMA,GIRON,HETERO,20142221-01,HIDROCLOROTIAZIDA+IRBESARTAN 25MG+300MG TAB CX30 (IRBIGEN-H) - HETERO,9090,HIDROCLOROTIAZIDA+IRBESARTAN,60840.0,Circular 19 de 2024,0.14940828402366865,-51750.0,-85.05917159763314
DISFARMA,BOGOTA,HETERO,20142222-01,HIDROCLOROTIAZIDA+IRBESARTAN 12.5MG+300MG TAB CX30 (IRBIGEN-H) - HETERO,10260,HIDROCLOROTIAZIDA+IRBESARTAN,60840.0,Circular 19 de 2024,0.16863905325443787,-50580.0,-83.13609467455622
DISFARMA,CALI,HETERO,20142222-01,HIDROCLOROTIAZIDA+IRBESARTAN 12.5MG+300MG TAB CX30 (IRBIGEN-H) - HETERO,10260,HIDROCLOROTIAZIDA+IRBESARTAN,60840.0,Circular 19 de 2024,0.16863905325443787,-50580.0,-83.13609467455622
DISFARMA,GIRON,HETERO,20142222-01,HIDROCLOROTIAZIDA+IRBESARTAN 12.5MG+300MG TAB CX30 (IRBIGEN-H) - HETERO,10260,HIDROCLOROTIAZIDA+IRBESARTAN,60840.0,Circular 19 de 2024,0.16863905325443787,-50580.0,-83.13609467455622
DISFARMA,BOGOTA,HETERO,20142577-01,TOLTERODINA TARTRATO 2MG TAB CX30 (TOLDY) - HETERO,17700,TOLTERODINA TARTRATO,52501.8,Circular 19 de 2024,0.33713129835548494,-34801.8,-66.2868701644515
DISFARMA,CALI,HETERO,20142577-01,TOLTERODINA TARTRATO 2MG TAB CX30 (TOLDY) - HETERO,17700,TOLTERODINA TARTRATO,52501.8,Circular 19 de 2024,0.33713129835548494,-34801.8,-66.2868701644515
DISFARMA,GIRON,HETERO,20142577-01,TOLTERODINA TARTRATO 2MG TAB CX30 (TOLDY) - HETERO,17700,TOLTERODINA TARTRATO,52501.8,Circular 19 de 2024,0.33713129835548494,-34801.8,-66.2868701644515
DISFARMA,BOGOTA,HETERO,20142721-01,IRBESARTAN 150MG TAB CX30 (IRBIGEN) - HETERO,5490,IRBESARTAN,22365.0,Circular 19 de 2024,0.2454728370221328,-16875.0,-75.45271629778671
DISFARMA,GIRON,HETERO,20142721-01,IRBESARTAN 150MG TAB CX30 (IRBIGEN) - HETERO,5490,IRBESARTAN,22365.0,Circular 19 de 2024,0.2454728370221328,-16875.0,-75.45271629778671
DISFARMA,GIRON,HETERO,20142726-01,IRBESARTAN 300MG TAB CX30 (IRBIGEN) - HETERO,9210,IRBESARTAN,44730.0,Circular 19 de 2024,0.20590207914151576,-35520.0,-79.40979208584842
DISFARMA,BOGOTA,ECAR,20144864-19,IRBESARTAN 300MG TAB CX500 - ECAR,130000,IRBESARTAN,745500.0,Circular 19 de 2024,0.1743796109993293,-615500.0,-82.56203890006707
DISFARMA,CALI,ECAR,20144864-19,IRBESARTAN 300MG TAB CX500 - ECAR,130000,IRBESARTAN,745500.0,Circular 19 de 2024,0.1743796109993293,-615500.0,-82.56203890006707
DISFARMA,GIRON,ECAR,20144864-19,IRBESARTAN 300MG TAB CX500 - ECAR,130000,IRBESARTAN,745500.0,Circular 19 de 2024,0.1743796109993293,-615500.0,-82.56203890006707
DISFARMA,BOGOTA,ALPHARMA,20147498-01,AZACITIDINA 100MG POL INY VIAL CX1 (ALITIDINA) - ALPHARMA,137717,AZACITIDINA,1060178.0,Circular 19 de 2024,0.12989988473633673,-922461.0,-87.01001152636633
DISFARMA,CALI,ALPHARMA,20147498-01,AZACITIDINA 100MG POL INY VIAL CX1 (ALITIDINA) - ALPHARMA,137717,AZACITIDINA,1060178.0,Circular 19 de 2024,0.12989988473633673,-922461.0,-87.01001152636633
DISFARMA,GIRON,ALPHARMA,20147498-01,AZACITIDINA 100MG POL INY VIAL CX1 (ALITIDINA) - ALPHARMA,137717,AZACITIDINA,1060178.0,Circular 19 de 2024,0.12989988473633673,-922461.0,-87.01001152636633
DISFARMA,BOGOTA,GADOR,20147688-01,ACETATO NOMEGESTROL+ESTRADIOL 2.5MG+1.5MG TAB CX28 (FEMIDEN) - GADOR,22120,ACETATO NOMEGESTROL+ESTRADIOL,26801.17,Circular 19 de 2024,0.8253371028205112,-4681.169999999998,-17.466289717948875
DISFARMA,CALI,GADOR,20147688-01,ACETATO NOMEGESTROL+ESTRADIOL 2.5MG+1.5MG TAB CX28 (FEMIDEN) - GADOR,22120,ACETATO NOMEGESTROL+ESTRADIOL,26801.17,Circular 19 de 2024,0.8253371028205112,-4681.169999999998,-17.466289717948875
DISFARMA,GIRON,GADOR,20147688-01,ACETATO NOMEGESTROL+ESTRADIOL 2.5MG+1.5MG TAB CX28 (FEMIDEN) - GADOR,22120,ACETATO NOMEGESTROL+ESTRADIOL,26801.17,Circular 19 de 2024,0.8253371028205112,-4681.169999999998,-17.466289717948875
DISFARMA,BOGOTA,HUMAX,20147960-01,CARBIDOPA+ENTACAPONA+LEVODOPA 12.5MG+200MG+50MG TAB FCOX30 (LEVOCAPONE 50) - HUMAX,24900,CARBIDOPA+ENTACAPONA+LEVODOPA,37185.0,Circular 19 de 2024,0.6696248487293264,-12285.0,-33.037515127067365
DISFARMA,CALI,HUMAX,20147960-01,CARBIDOPA+ENTACAPONA+LEVODOPA 12.5MG+200MG+50MG TAB FCOX30 (LEVOCAPONE 50) - HUMAX,24900,CARBIDOPA+ENTACAPONA+LEVODOPA,37185.0,Circular 19 de 2024,0.6696248487293264,-12285.0,-33.037515127067365
DISFARMA,GIRON,HUMAX,20147960-01,CARBIDOPA+ENTACAPONA+LEVODOPA 12.5MG+200MG+50MG TAB FCOX30 (LEVOCAPONE 50) - HUMAX,24900,CARBIDOPA+ENTACAPONA+LEVODOPA,37185.0,Circular 19 de 2024,0.6696248487293264,-12285.0,-33.037515127067365
DISFARMA,BOGOTA,HUMAX,20148063-01,CARBIDOPA+ENTACAPONA+LEVODOPA 50MG+200MG+200MG TAB FCOX30 CX1 (LEVOCAPONE 200) - HUMAX,36750,CARBIDOPA+ENTACAPONA+LEVODOPA,148740.0,Circular 19 de 2024,0.24707543364259782,-111990.0,-75.29245663574021
DISFARMA,CALI,HUMAX,20148063-01,CARBIDOPA+ENTACAPONA+LEVODOPA 50MG+200MG+200MG TAB FCOX30 CX1 (LEVOCAPONE 200) - HUMAX,36750,CARBIDOPA+ENTACAPONA+LEVODOPA,148740.0,Circular 19 de 2024,0.24707543364259782,-111990.0,-75.29245663574021
